,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
16,137026,0.14,FALSE,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,4,2,4,11,265,2,101,TRUE,0,0,4.77,FALSE,66.25,530,0.13,0.25,0.27,4.99,0.054054054,1315.135135
17,162467,0.46,FALSE,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,2,1,1,4,175,3,21,TRUE,0,0,4.75,FALSE,87.5,525,0.06,0.14,0.19,4.99,0.432876712,761.7123288
18,168769,0.65,TRUE,Centrum-West,52.37956,4.89359,Private room,1,1,1,3,88,3,100,TRUE,0,0,4.58,TRUE,88,264,0.04,0.07,0.18,4.99,0,439.2465753
19,169356,0.44,FALSE,Centrum-West,52.38104,4.88306,Entire home/apt,2,1,1,11,195,7,7,TRUE,0,0,5,FALSE,97.5,1365,0.06,0.13,0.21,4.99,0.178082192,975
20,179528,1,FALSE,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3,2,2,10,270,21,100,TRUE,6,0,4.5,TRUE,90,5670,0.08,0.21,0.28,4.99,0.150684932,1476.164384
21,188347,0.77,FALSE,De Baarsjes - Oud-West,52.3683,4.85446,Private room,2,1,1,3,111,1,6,TRUE,4,0,4.65,FALSE,55.5,111,0.07,0.12,0.19,4.99,0.769230769,988.4615385
22,193038,1,TRUE,Centrum-Oost,52.36057,4.89671,Private room,2,1,1,4,121,3,31,TRUE,2,5,4.96,TRUE,60.5,363,0.07,0.15,0.18,4.99,0.20498615,600
23,214531,0.5,TRUE,Centrum-West,52.37169,4.89446,Private room,3,1,2,5,115,3,50,TRUE,0,0,4.83,FALSE,38.34,345,0.1,0.13,0.18,4.99,0,620.7671233
24,222516,1,FALSE,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,2,1,1,8,119,7,21,TRUE,0,1,4.71,FALSE,59.5,833,0.07,0.15,0.2,4.99,0,606.6438356
25,245927,1,TRUE,Centrum-West,52.36815,4.88604,Entire home/apt,4,2,3,23,515,2,-76,TRUE,0,1,4.58,TRUE,128.8,1030,0.1,0.22,0.25,10.99,0.367346939,4177.959184
26,252080,0.74,FALSE,Centrum-Oost,52.36936,4.90963,Entire home/apt,4,2,2,16,385,4,30,TRUE,0,0,4.89,FALSE,96.25,1540,0.06,0.23,0.16,4.99,0.452054795,1917.794521
27,274688,0.36,FALSE,Bos en Lommer,52.37977,4.85574,Entire home/apt,2,1,1,5,88,4,30,TRUE,0,0,4.85,FALSE,44,352,0.05,0.1,0.18,4.99,0,439.2465753
28,286374,0.38,FALSE,Geuzenveld - Slotermeer,52.37725,4.83307,Entire home/apt,4,2,2,1,130,4,21,TRUE,0,1,4.75,FALSE,32.5,520,0.06,0.14,0.18,4.99,0.701369863,650
29,286500,0.84,TRUE,Centrum-West,52.37561,4.9,Private room,2,1,1,5,162,3,109,TRUE,1,3,4.89,TRUE,81,486,0.09,0.21,0.18,4.99,0.617728532,942.0914127
30,290701,1,TRUE,Centrum-West,52.37561,4.9,Private room,2,1,1,4,161,3,109,TRUE,3,6,4.85,TRUE,80.5,483,0.08,0.19,0.2,4.99,0.67768595,932.6584022
31,291752,0.6,FALSE,Oud-Oost,52.35179,4.91082,Private room,2,1,1,2,105,3,101,TRUE,1,0,4.86,FALSE,52.5,315,0.06,0.17,0.16,4.99,0.794520548,523.4931507
32,304143,1,FALSE,Oud-Oost,52.3623,4.92028,Entire home/apt,2,1,1,6,95,3,30,TRUE,0,0,4.55,FALSE,47.5,285,0.04,0.1,0.17,4.99,0,475
33,306852,0.79,FALSE,Centrum-Oost,52.35931,4.89844,Entire home/apt,4,2,2,7,200,4,21,TRUE,0,2,4.61,FALSE,50,800,0.07,0.24,0.2,4.99,0.084931507,1000
